lat,lon,A,T,quadrant
40.771196491803295,-73.94672557377054,0.037717903118168306,0.8159175642681298,Unsustained node
40.69590727000001,-73.98321465,0.20238330493324336,0.7846039687990645,Stress / balance
40.583151104,-73.973074768,0.12310486097175995,0.7270843522826391,Unsustained place
40.702293,-73.79116999999998,0.04110837997506477,0.7771934914682126,Unsustained node
40.60885929906544,-74.15330850467288,0.01370279332502159,0.6934621631214204,Dependence
40.72592277419356,-73.89534064516127,0.0725551319097684,0.7702792484732462,Unsustained place
40.72467904487179,-73.75405994871792,0.01370279332502159,0.7664138110257589,Dependence
40.79487852325581,-73.97163802906978,0.08357577846773542,0.8305502403955666,Stress / balance
40.71042394047618,-73.85964504761904,0.01370279332502159,0.7683274162272091,Dependence
40.60251660655738,-73.99322783606556,0.052779714960795775,0.8290666765970297,Stress / balance
40.76880299999999,-73.95837000000003,0.06979893745729754,0.808895983657665,Stress / balance
40.72255917156863,-73.9404645,0.04514954525972522,0.809367551462004,Stress / balance
40.79677048800001,-73.9293149,0.09165810903705632,0.6722926845127923,Unsustained place
40.58420188038277,-73.96382555023924,0.07320582033753238,0.7293944999754749,Unsustained place
40.73013938016529,-73.86236991735535,0.05617019181769224,0.7761242898393023,Unsustained place
40.75727388095238,-73.97812048809521,0.02740558665004318,0.8381272935917614,Unsustained node
40.65069254929576,-73.95244864788732,0.06021135710235269,0.8036763905083768,Stress / balance
40.76931800000001,-73.86660000000002,0.0,0.661286337886224,Dependence
40.68309399999999,-73.8058194059406,0.02740558665004318,0.8049176624225157,Unsustained node
40.71228827272728,-73.7853294242424,0.10131973707741745,0.7590131791915136,Unsustained place
40.86235647887322,-73.89405707042253,0.06851396662510796,0.796010730363011,Stress / balance
40.73134559999999,-73.92602033333335,0.0,0.7940252102490113,Unsustained node
40.75538123655912,-73.82828111827955,0.07659629719442884,0.7682262201641868,Unsustained place
40.66607699999999,-73.995224,0.024723439882988613,0.7871556691300766,Unsustained node
40.73661728571428,-73.86581053571429,0.0,0.7866565072144607,Unsustained node
40.85314999999999,-73.90561,0.09323740650809657,0.6657289033451788,Unsustained place
40.83356815,-73.86146242,0.07953461318307498,0.802243390776058,Stress / balance
40.749897,-73.93782,0.11234038363538448,0.8009264381372356,Stress / balance
40.63048449756097,-73.88592258536586,0.02740558665004318,0.7545753520566436,Dependence
40.75140140151515,-73.97106347727274,0.1451102638195368,0.7907021191170291,Stress / balance
40.76990155555555,-73.83649051851854,0.06989838693247767,0.7454400049760964,Unsustained place
40.71582,-73.80799,0.028056275077807162,0.7688079020767369,Dependence
40.68439500000001,-73.97834999999999,0.1972751806207258,0.8286971538434725,Stress / balance
40.66184253846154,-73.8930931153846,0.1024225863734318,0.8344746220385957,Stress / balance
40.56151320000002,-74.17184616666667,0.06314967309099881,0.7373117920509566,Unsustained place
40.60603547368421,-74.07605421052632,0.01370279332502159,0.6667984902051375,Dependence
40.63390011224491,-73.94775567346939,0.024723439882988613,0.814218136165533,Unsustained node
40.78454229310344,-73.97359362068967,0.1161253796984534,0.8112301822922514,Stress / balance
